,subj,condition,recall_passed_fixated_first,recall_fixated_incepted,recall_repeated_forgone,recall_forgone,recognition_passed_fixated_first,recognition_fixated_incepted,recognition_repeated_forgone,recognition_forgone,glanced_list,recall_glanced,recognition_glanced
0,sub001,Free_Viewing,0.058823529411764705,0.2857142857142857,0.0,0.0,0.4117647058823529,0.7142857142857143,0.0,0.0,,0.17289719626168223,0.46261682242990654
1,sub002,Count_trash_bins,0.0,0.2,0.0,0.0,0.3333333333333333,0.4,0.0,0.0,,0.17142857142857143,0.4714285714285714
2,sub003,Free_Viewing,0.21428571428571427,0.4,0.0,0.0,0.5,0.6,0.0,0.5,,0.24793388429752067,0.5702479338842975
3,sub004,Count_trash_bins,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.07142857142857142,,0.0,0.5384615384615384
4,sub005,Free_Viewing,0.125,0.16666666666666666,0.0,0.0,0.9375,0.8333333333333334,0.0,0.2857142857142857,,0.23938223938223938,0.8262548262548263
5,sub006,Free_Viewing,0.375,0.0,0.0,0.0,0.125,0.0,1.0,0.0,,0.34814814814814815,0.02962962962962963
6,sub007,Free_Viewing,0.1,1.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,,0.3236514522821577,0.7468879668049793
7,sub008,Count_trash_bins,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.06666666666666667,,0.3103448275862069,0.034482758620689655
8,sub009,Free_Viewing,0.04,0.0,0.0,0.0,0.56,0.6666666666666666,0.0,0.25,,0.018604651162790697,0.5627906976744186
9,sub010,Count_trash_bins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,0.0,0.016666666666666666
10,sub011,Free_Viewing,0.2,0.2,0.0,0.0,0.4,0.2,0.0,0.0,,0.23333333333333334,0.30952380952380953
11,sub012,Count_trash_bins,0.2,0.5,0.0,0.0,0.2,0.5,0.0,0.16666666666666666,,0.2597402597402597,0.33766233766233766
12,sub013,Free_Viewing,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.10714285714285714,0.21428571428571427
13,sub014,Count_trash_bins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
14,sub015,Count_trash_bins,0.6666666666666666,0.5,0.2,0.0,1.0,1.0,0.2,0.25,,0.6885245901639344,0.7704918032786885
15,sub016,Count_trash_bins,0.16666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.06666666666666667,,0.5081967213114754,0.5737704918032787
16,sub017,Free_Viewing,0.12903225806451613,0.3333333333333333,0.0,0.0,0.5806451612903226,0.3333333333333333,0.0,0.0,,0.19455252918287938,0.48249027237354086
17,sub018,Count_trash_bins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
18,sub019,Free_Viewing,0.18181818181818182,0.4,0.0,0.0,0.6363636363636364,0.6,0.0,0.125,,0.27860696517412936,0.5671641791044776
19,sub020,Count_trash_bins,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,,0.034482758620689655,0.034482758620689655
20,sub021,Free_Viewing,0.2222222222222222,0.25,0.0,0.0,0.5,0.5,0.0,0.16666666666666666,,0.2430939226519337,0.6243093922651933
21,sub022,Count_trash_bins,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,,0.10256410256410256,0.10256410256410256
22,sub023,Free_Viewing,0.15,0.5,0.0,0.14285714285714285,0.9,1.0,0.0,0.14285714285714285,,0.387434554973822,0.8691099476439791
23,sub024,Count_trash_bins,0.0,0.3333333333333333,0.25,0.0,0.3333333333333333,0.6666666666666666,0.25,0.2727272727272727,,0.4,0.7
24,sub025,Free_Viewing,0.2,0.5,0.0,0.0,0.4,0.0,0.0,0.0,,0.34444444444444444,0.23333333333333334
25,sub026,Count_trash_bins,0.0,0.0,0.0,0.0,0.75,0.0,0.16666666666666666,0.25,,0.0,0.4583333333333333
26,sub027,Free_Viewing,0.0,0.5,0.0,0.0,0.0,0.75,0.3333333333333333,0.0,,0.1836734693877551,0.4387755102040816
27,sub028,Count_trash_bins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
28,sub029,Free_Viewing,0.21428571428571427,0.0,0.0,1.0,0.6785714285714286,0.6,0.0,1.0,,0.22966507177033493,0.7129186602870813
29,sub030,Count_trash_bins,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.16666666666666666,,0.0,0.058823529411764705
30,sub031,Free_Viewing,0.06666666666666667,0.2857142857142857,0.0,0.0,0.26666666666666666,0.42857142857142855,0.0,0.0,,0.2,0.36428571428571427
31,sub032,Count_trash_bins,0.3333333333333333,0.0,0.0,0.05555555555555555,0.8333333333333334,1.0,0.5,0.3333333333333333,,0.234375,0.6875
32,sub033,Free_Viewing,0.16666666666666666,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.7777777777777778,,0.1728395061728395,0.48148148148148145
33,sub034,Count_trash_bins,0.0,0.2,0.0,0.0,0.5,0.2,0.0,0.08333333333333333,,0.05333333333333334,0.14666666666666667
34,sub035,Free_Viewing,0.25806451612903225,0.6666666666666666,0.0,0.5,0.8387096774193549,1.0,0.0,0.5,,0.2589641434262948,0.8366533864541833
35,sub036,Count_trash_bins,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,,0.10112359550561797,0.15730337078651685
36,sub037,Free_Viewing,0.28,0.25,0.0,0.0,0.56,0.75,0.0,0.5,,0.29559748427672955,0.610062893081761
37,sub038,Count_trash_bins,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2,,0.0,0.0945945945945946
38,sub039,Free_Viewing,0.22580645161290322,0.0,0.0,0.0,0.7096774193548387,0.5,0.0,0.0,,0.2893401015228426,0.7411167512690355
39,sub040,Count_trash_bins,0.3333333333333333,0.4,0.0,0.0,0.3333333333333333,0.8,0.0,0.1111111111111111,,0.3333333333333333,0.4523809523809524
