,subject,condition,billboard,viewing_status,fixated,glanced,recalled,recognized
0,sub001,Free_Viewing,lawyer,passed_first_fixated,1,1,0,0
1,sub001,Free_Viewing,texting_driving,passed_first_fixated,1,1,1,1
2,sub001,Free_Viewing,burger,passed_first_fixated,1,1,0,0
3,sub001,Free_Viewing,binge_drinking,passed_first_fixated,1,1,0,1
4,sub001,Free_Viewing,employee_wellness,passed_first_fixated,1,1,0,1
5,sub001,Free_Viewing,moving_business,passed_first_fixated,1,1,0,0
6,sub001,Free_Viewing,mental_health,passed_first_fixated,1,1,0,0
7,sub001,Free_Viewing,healthy_diet,passed_first_fixated,1,1,0,1
8,sub001,Free_Viewing,fundraising,passed_first_fixated,1,1,0,0
9,sub001,Free_Viewing,carpet_cleaning,passed_first_fixated,1,1,0,0
10,sub001,Free_Viewing,smoking_cessation,passed_first_fixated,1,1,0,1
11,sub001,Free_Viewing,smartphone,passed_first_fixated,1,1,0,0
12,sub001,Free_Viewing,pottery_class,passed_first_fixated,1,1,0,0
13,sub001,Free_Viewing,regular_doctor_visits,passed_first_fixated,1,1,0,0
14,sub001,Free_Viewing,recycling,passed_first_fixated,1,1,0,1
15,sub001,Free_Viewing,coffee,passed_first_fixated,1,1,0,1
16,sub001,Free_Viewing,polar_bear,passed_first_fixated,1,1,0,0
17,sub001,Free_Viewing,diabetes_awareness,passed_incept_fixated,1,1,0,1
18,sub001,Free_Viewing,healthy_sleep,passed_incept_fixated,1,1,0,1
19,sub001,Free_Viewing,hotel,passed_incept_fixated,1,1,0,1
20,sub001,Free_Viewing,museum,passed_incept_fixated,1,1,0,1
21,sub001,Free_Viewing,pizza,passed_incept_fixated,1,1,0,0
22,sub001,Free_Viewing,vaccination,passed_incept_fixated,1,1,1,0
23,sub001,Free_Viewing,HIV,passed_incept_fixated,1,1,1,1
24,sub001,Free_Viewing,car_insurance,passed_first_notfixated_forgone,0,1,0,0
25,sub001,Free_Viewing,caffeine_consumption,passed_first_notfixated_forgone,0,0,0,0
26,sub001,Free_Viewing,sun_skin_protection,passed_first_notfixated_forgone,0,0,0,0
27,sub001,Free_Viewing,cosmetics,passed_first_notfixated_forgone,0,1,0,0
28,sub001,Free_Viewing,great_lakes,passed_first_notfixated_forgone,0,1,0,0
29,sub001,Free_Viewing,jogging_physical_activity,passed_first_notfixated_forgone,0,1,0,0
30,sub001,Free_Viewing,furniture,passed_first_notfixated_forgone,0,0,0,0
31,sub002,Count_trash_bins,healthy_diet,passed_first_fixated,1,1,0,1
32,sub002,Count_trash_bins,movie_premiere,passed_first_fixated,1,1,0,0
33,sub002,Count_trash_bins,brunch,passed_first_fixated,1,1,0,0
34,sub002,Count_trash_bins,car_insurance,passed_incept_fixated,1,1,0,0
35,sub002,Count_trash_bins,travel_agency,passed_incept_fixated,1,1,0,0
36,sub002,Count_trash_bins,carpet_cleaning,passed_incept_fixated,1,1,0,0
37,sub002,Count_trash_bins,HIV,passed_incept_fixated,1,1,0,1
38,sub002,Count_trash_bins,drug_abuse,passed_incept_fixated,1,1,1,1
39,sub002,Count_trash_bins,coffee,passed_incept_notfixated_forgone,0,1,0,0
40,sub002,Count_trash_bins,regular_doctor_visits,passed_incept_notfixated_forgone,0,1,0,0
41,sub002,Count_trash_bins,moving_business,passed_incept_notfixated_forgone,0,1,0,0
42,sub002,Count_trash_bins,grocery_store,passed_first_notfixated_forgone,0,0,0,0
43,sub002,Count_trash_bins,employee_wellness,passed_first_notfixated_forgone,0,0,0,0
44,sub002,Count_trash_bins,clothes_sale,passed_first_notfixated_forgone,0,0,0,0
45,sub002,Count_trash_bins,binge_drinking,passed_first_notfixated_forgone,0,0,0,0
46,sub002,Count_trash_bins,caffeine_consumption,passed_first_notfixated_forgone,0,0,0,0
47,sub002,Count_trash_bins,burger,passed_first_notfixated_forgone,0,0,0,0
48,sub002,Count_trash_bins,museum,passed_first_notfixated_forgone,0,1,0,0
49,sub002,Count_trash_bins,sun_skin_protection,passed_first_notfixated_forgone,0,0,0,0
50,sub003,Free_Viewing,fundraising,passed_first_fixated,1,1,0,1
51,sub003,Free_Viewing,cosmetics,passed_first_fixated,1,1,0,0
52,sub003,Free_Viewing,furniture,passed_first_fixated,1,1,0,0
53,sub003,Free_Viewing,mental_health,passed_first_fixated,1,1,1,0
54,sub003,Free_Viewing,carpet_cleaning,passed_first_fixated,1,1,0,0
55,sub003,Free_Viewing,brunch,passed_first_fixated,1,1,0,0
56,sub003,Free_Viewing,jogging_physical_activity,passed_first_fixated,1,1,0,1
57,sub003,Free_Viewing,sun_skin_protection,passed_first_fixated,1,1,1,1
58,sub003,Free_Viewing,binge_drinking,passed_first_fixated,1,1,1,1
59,sub003,Free_Viewing,museum,passed_first_fixated,1,1,0,0
60,sub003,Free_Viewing,smoking_cessation,passed_first_fixated,1,1,1,1
61,sub003,Free_Viewing,polar_bear,passed_first_fixated,1,1,0,0
62,sub003,Free_Viewing,hotel,passed_first_fixated,1,1,0,1
63,sub003,Free_Viewing,regular_doctor_visits,passed_first_fixated,1,1,0,0
64,sub003,Free_Viewing,caffeine_consumption,passed_first_fixated,1,1,1,1
65,sub003,Free_Viewing,healthy_sleep,passed_first_fixated,1,1,0,0
66,sub003,Free_Viewing,recycling,passed_first_fixated,1,1,0,0
67,sub003,Free_Viewing,grocery_store,passed_first_fixated,1,1,0,1
68,sub003,Free_Viewing,diabetes_awareness,passed_first_fixated,1,1,0,1
69,sub003,Free_Viewing,travel_agency,passed_first_fixated,1,1,0,1
70,sub003,Free_Viewing,pet_store,passed_first_fixated,1,1,0,0
71,sub003,Free_Viewing,burger,passed_first_fixated,1,1,0,1
72,sub003,Free_Viewing,coffee,passed_first_fixated,1,1,0,1
73,sub003,Free_Viewing,HIV,passed_first_fixated,1,1,0,1
74,sub003,Free_Viewing,employee_wellness,passed_first_fixated,1,1,0,0
75,sub003,Free_Viewing,healthy_diet,passed_first_fixated,1,1,1,1
76,sub003,Free_Viewing,movie_premiere,passed_first_fixated,1,1,0,0
77,sub003,Free_Viewing,pottery_class,passed_first_fixated,1,1,0,0
78,sub003,Free_Viewing,texting_driving,passed_incept_fixated,1,1,1,1
79,sub003,Free_Viewing,car_insurance,passed_incept_fixated,1,1,1,1
80,sub003,Free_Viewing,lawyer,passed_incept_fixated,1,1,0,1
81,sub003,Free_Viewing,drug_abuse,passed_incept_fixated,1,1,0,0
82,sub003,Free_Viewing,moving_business,passed_incept_fixated,1,1,0,0
83,sub003,Free_Viewing,vaccination,passed_first_notfixated_forgone,0,0,0,0
84,sub003,Free_Viewing,handwashing,passed_first_notfixated_forgone,0,1,0,1
85,sub004,Count_trash_bins,furniture,passed_first_fixated,1,1,0,0
86,sub004,Count_trash_bins,texting_driving,passed_incept_notfixated_forgone,0,0,0,0
87,sub004,Count_trash_bins,travel_agency,passed_incept_notfixated_forgone,0,1,0,0
88,sub004,Count_trash_bins,employee_wellness,passed_incept_notfixated_forgone,0,0,0,1
89,sub004,Count_trash_bins,carpet_cleaning,passed_incept_notfixated_forgone,0,0,0,0
90,sub004,Count_trash_bins,cosmetics,passed_incept_notfixated_forgone,0,1,0,0
91,sub004,Count_trash_bins,drug_abuse,passed_first_notfixated_forgone,0,0,0,0
92,sub004,Count_trash_bins,healthy_sleep,passed_first_notfixated_forgone,0,0,0,0
93,sub004,Count_trash_bins,hotel,passed_first_notfixated_forgone,0,0,0,0
94,sub004,Count_trash_bins,smoking_cessation,passed_first_notfixated_forgone,0,0,0,0
95,sub004,Count_trash_bins,lawyer,passed_first_notfixated_forgone,0,1,0,0
96,sub004,Count_trash_bins,polar_bear,passed_first_notfixated_forgone,0,0,0,0
97,sub004,Count_trash_bins,regular_doctor_visits,passed_first_notfixated_forgone,0,0,0,0
98,sub004,Count_trash_bins,pet_store,passed_first_notfixated_forgone,0,1,0,0
99,sub004,Count_trash_bins,brunch,passed_first_notfixated_forgone,0,0,0,0
100,sub004,Count_trash_bins,pottery_class,passed_first_notfixated_forgone,0,0,0,0
101,sub004,Count_trash_bins,moving_business,passed_first_notfixated_forgone,0,0,0,0
102,sub004,Count_trash_bins,vaccination,passed_first_notfixated_forgone,0,0,0,0
103,sub004,Count_trash_bins,burger,passed_first_notfixated_forgone,0,0,0,0
104,sub004,Count_trash_bins,pizza,passed_first_notfixated_forgone,0,1,0,1
105,sub005,Free_Viewing,healthy_diet,passed_first_fixated,1,1,0,1
106,sub005,Free_Viewing,carpet_cleaning,passed_first_fixated,1,1,0,0
107,sub005,Free_Viewing,moving_business,passed_first_fixated,1,1,0,1
108,sub005,Free_Viewing,polar_bear,passed_first_fixated,1,1,1,1
109,sub005,Free_Viewing,regular_doctor_visits,passed_first_fixated,1,1,0,1
110,sub005,Free_Viewing,jogging_physical_activity,passed_first_fixated,1,1,0,1
111,sub005,Free_Viewing,brunch,passed_first_fixated,1,1,0,1
112,sub005,Free_Viewing,hotel,passed_first_fixated,1,1,0,1
113,sub005,Free_Viewing,coffee,passed_first_fixated,1,1,0,1
114,sub005,Free_Viewing,pizza,passed_first_fixated,1,1,0,1
115,sub005,Free_Viewing,recycling,passed_first_fixated,1,1,1,1
116,sub005,Free_Viewing,car_insurance,passed_first_fixated,1,1,0,1
117,sub005,Free_Viewing,fundraising,passed_first_fixated,1,1,0,1
118,sub005,Free_Viewing,museum,passed_first_fixated,1,1,0,1
119,sub005,Free_Viewing,mental_health,passed_first_fixated,1,1,0,1
120,sub005,Free_Viewing,buckle_up,passed_first_fixated,1,1,0,1
121,sub005,Free_Viewing,caffeine_consumption,passed_incept_fixated,1,1,0,1
122,sub005,Free_Viewing,pottery_class,passed_incept_fixated,1,1,0,0
123,sub005,Free_Viewing,HIV,passed_incept_fixated,1,1,0,1
124,sub005,Free_Viewing,texting_driving,passed_incept_fixated,1,1,0,1
125,sub005,Free_Viewing,drug_abuse,passed_incept_fixated,1,1,0,1
126,sub005,Free_Viewing,employee_wellness,passed_incept_fixated,1,1,1,1
127,sub005,Free_Viewing,vaccination,passed_first_notfixated_forgone,0,0,0,1
128,sub005,Free_Viewing,diabetes_awareness,passed_first_notfixated_forgone,0,0,0,0
129,sub005,Free_Viewing,movie_premiere,passed_first_notfixated_forgone,0,1,0,0
130,sub005,Free_Viewing,clothes_sale,passed_first_notfixated_forgone,0,1,0,1
131,sub005,Free_Viewing,healthy_sleep,passed_first_notfixated_forgone,0,1,0,0
132,sub005,Free_Viewing,great_lakes,passed_first_notfixated_forgone,0,1,0,0
133,sub005,Free_Viewing,sun_skin_protection,passed_first_notfixated_forgone,0,1,0,0
134,sub006,Free_Viewing,healthy_diet,passed_first_fixated,1,1,0,1
135,sub006,Free_Viewing,moving_business,passed_first_fixated,1,1,0,0
136,sub006,Free_Viewing,burger,passed_first_fixated,1,1,0,0
137,sub006,Free_Viewing,fundraising,passed_first_fixated,1,1,1,0
138,sub006,Free_Viewing,carpet_cleaning,passed_first_fixated,1,1,1,0
139,sub006,Free_Viewing,caffeine_consumption,passed_first_fixated,1,1,0,0
140,sub006,Free_Viewing,polar_bear,passed_first_fixated,1,1,0,0
141,sub006,Free_Viewing,pizza,passed_first_fixated,1,1,1,0
142,sub006,Free_Viewing,movie_premiere,passed_incept_fixated,1,1,0,0
143,sub006,Free_Viewing,travel_agency,passed_incept_fixated,1,1,0,0
144,sub006,Free_Viewing,museum,passed_incept_fixated,1,1,0,0
145,sub006,Free_Viewing,furniture,passed_incept_fixated,1,1,0,0
146,sub006,Free_Viewing,grocery_store,passed_incept_fixated,1,1,0,0
147,sub006,Free_Viewing,binge_drinking,passed_incept_notfixated_forgone,0,0,0,1
148,sub006,Free_Viewing,diabetes_awareness,passed_first_notfixated_forgone,0,1,0,0
149,sub006,Free_Viewing,buckle_up,passed_first_notfixated_forgone,0,1,0,0
150,sub006,Free_Viewing,handwashing,passed_first_notfixated_forgone,0,0,0,0
151,sub006,Free_Viewing,sun_skin_protection,passed_first_notfixated_forgone,0,0,0,0
152,sub006,Free_Viewing,HIV,passed_first_notfixated_forgone,0,1,0,0
153,sub006,Free_Viewing,vaccination,passed_first_notfixated_forgone,0,0,0,0
154,sub006,Free_Viewing,cosmetics,passed_first_notfixated_forgone,0,1,0,0
155,sub006,Free_Viewing,smoking_cessation,passed_first_notfixated_forgone,0,0,0,0
156,sub006,Free_Viewing,pet_store,passed_first_notfixated_forgone,0,1,0,0
157,sub006,Free_Viewing,mental_health,passed_first_notfixated_forgone,0,1,0,0
158,sub006,Free_Viewing,coffee,passed_first_notfixated_forgone,0,1,0,0
159,sub007,Free_Viewing,pet_store,passed_first_fixated,1,1,0,1
160,sub007,Free_Viewing,travel_agency,passed_first_fixated,1,1,0,0
161,sub007,Free_Viewing,carpet_cleaning,passed_first_fixated,1,1,0,1
162,sub007,Free_Viewing,clothes_sale,passed_first_fixated,1,1,0,1
163,sub007,Free_Viewing,binge_drinking,passed_first_fixated,1,1,0,1
164,sub007,Free_Viewing,vaccination,passed_first_fixated,1,1,0,0
165,sub007,Free_Viewing,burger,passed_first_fixated,1,1,0,1
166,sub007,Free_Viewing,pottery_class,passed_first_fixated,1,1,0,1
167,sub007,Free_Viewing,recycling,passed_first_fixated,1,1,0,1
168,sub007,Free_Viewing,jogging_physical_activity,passed_first_fixated,1,1,1,1
169,sub007,Free_Viewing,furniture,passed_first_fixated,1,1,0,0
170,sub007,Free_Viewing,mental_health,passed_first_fixated,1,1,0,1
171,sub007,Free_Viewing,pizza,passed_first_fixated,1,1,0,1
172,sub007,Free_Viewing,polar_bear,passed_first_fixated,1,1,0,1
173,sub007,Free_Viewing,smartphone,passed_first_fixated,1,1,0,0
174,sub007,Free_Viewing,hotel,passed_first_fixated,1,1,0,0
175,sub007,Free_Viewing,healthy_diet,passed_first_fixated,1,1,0,1
176,sub007,Free_Viewing,drug_abuse,passed_first_fixated,1,1,1,1
177,sub007,Free_Viewing,sun_skin_protection,passed_first_fixated,1,1,0,1
178,sub007,Free_Viewing,fundraising,passed_first_fixated,1,1,0,1
179,sub007,Free_Viewing,cosmetics,passed_first_fixated,1,1,0,0
180,sub007,Free_Viewing,employee_wellness,passed_first_fixated,1,1,0,1
181,sub007,Free_Viewing,diabetes_awareness,passed_first_fixated,1,1,0,1
182,sub007,Free_Viewing,car_insurance,passed_first_fixated,1,1,0,1
183,sub007,Free_Viewing,moving_business,passed_first_fixated,1,1,0,0
184,sub007,Free_Viewing,healthy_sleep,passed_first_fixated,1,1,0,0
185,sub007,Free_Viewing,coffee,passed_first_fixated,1,1,0,1
186,sub007,Free_Viewing,grocery_store,passed_first_fixated,1,1,0,0
187,sub007,Free_Viewing,handwashing,passed_first_fixated,1,1,0,0
188,sub007,Free_Viewing,HIV,passed_first_fixated,1,1,1,1
189,sub007,Free_Viewing,caffeine_consumption,passed_incept_fixated,1,1,1,1
190,sub007,Free_Viewing,buckle_up,passed_incept_fixated,1,1,1,1
191,sub007,Free_Viewing,regular_doctor_visits,passed_incept_fixated,1,1,1,1
192,sub007,Free_Viewing,museum,passed_first_notfixated_forgone,0,1,0,0
193,sub007,Free_Viewing,great_lakes,passed_first_notfixated_forgone,0,1,0,0
194,sub007,Free_Viewing,movie_premiere,passed_first_notfixated_forgone,0,0,0,0
195,sub008,Count_trash_bins,HIV,passed_first_fixated,1,1,0,0
196,sub008,Count_trash_bins,burger,passed_first_fixated,1,1,0,0
197,sub008,Count_trash_bins,coffee,passed_first_fixated,1,1,0,0
198,sub008,Count_trash_bins,smoking_cessation,passed_first_fixated,1,1,0,1
199,sub008,Count_trash_bins,drug_abuse,passed_first_fixated,1,1,1,0
200,sub008,Count_trash_bins,smartphone,passed_incept_fixated,1,1,0,0
201,sub008,Count_trash_bins,movie_premiere,passed_incept_fixated,1,1,0,0
202,sub008,Count_trash_bins,cosmetics,passed_incept_notfixated_forgone,0,1,0,0
203,sub008,Count_trash_bins,furniture,passed_incept_notfixated_forgone,0,0,0,0
204,sub008,Count_trash_bins,vaccination,passed_first_notfixated_forgone,0,0,0,0
205,sub008,Count_trash_bins,great_lakes,passed_first_notfixated_forgone,0,0,0,0
206,sub008,Count_trash_bins,grocery_store,passed_first_notfixated_forgone,0,0,0,1
207,sub008,Count_trash_bins,regular_doctor_visits,passed_first_notfixated_forgone,0,0,0,0
208,sub008,Count_trash_bins,carpet_cleaning,passed_first_notfixated_forgone,0,0,0,0
209,sub008,Count_trash_bins,texting_driving,passed_first_notfixated_forgone,0,0,0,0
210,sub008,Count_trash_bins,recycling,passed_first_notfixated_forgone,0,0,0,0
211,sub008,Count_trash_bins,healthy_sleep,passed_first_notfixated_forgone,0,0,0,0
212,sub008,Count_trash_bins,pet_store,passed_first_notfixated_forgone,0,0,0,0
213,sub008,Count_trash_bins,handwashing,passed_first_notfixated_forgone,0,0,0,0
214,sub008,Count_trash_bins,fundraising,passed_first_notfixated_forgone,0,0,0,0
215,sub008,Count_trash_bins,polar_bear,passed_first_notfixated_forgone,0,1,0,0
216,sub008,Count_trash_bins,jogging_physical_activity,passed_first_notfixated_forgone,0,1,0,0
217,sub008,Count_trash_bins,lawyer,passed_first_notfixated_forgone,0,0,0,0
218,sub008,Count_trash_bins,sun_skin_protection,passed_first_notfixated_forgone,0,0,0,0
219,sub009,Free_Viewing,binge_drinking,passed_first_fixated,1,1,0,1
220,sub009,Free_Viewing,coffee,passed_first_fixated,1,1,0,1
221,sub009,Free_Viewing,hotel,passed_first_fixated,1,1,0,0
222,sub009,Free_Viewing,clothes_sale,passed_first_fixated,1,1,0,0
223,sub009,Free_Viewing,cosmetics,passed_first_fixated,1,1,0,0
224,sub009,Free_Viewing,museum,passed_first_fixated,1,1,0,1
225,sub009,Free_Viewing,brunch,passed_first_fixated,1,1,0,1
226,sub009,Free_Viewing,mental_health,passed_first_fixated,1,1,0,1
227,sub009,Free_Viewing,smartphone,passed_first_fixated,1,1,0,0
228,sub009,Free_Viewing,lawyer,passed_first_fixated,1,1,0,0
229,sub009,Free_Viewing,vaccination,passed_first_fixated,1,1,0,1
230,sub009,Free_Viewing,drug_abuse,passed_first_fixated,1,1,0,0
231,sub009,Free_Viewing,pet_store,passed_first_fixated,1,1,0,0
232,sub009,Free_Viewing,HIV,passed_first_fixated,1,1,0,1
233,sub009,Free_Viewing,carpet_cleaning,passed_first_fixated,1,1,0,0
234,sub009,Free_Viewing,regular_doctor_visits,passed_first_fixated,1,1,0,1
235,sub009,Free_Viewing,pizza,passed_first_fixated,1,1,0,1
236,sub009,Free_Viewing,fundraising,passed_first_fixated,1,1,0,1
237,sub009,Free_Viewing,buckle_up,passed_first_fixated,1,1,0,1
238,sub009,Free_Viewing,sun_skin_protection,passed_first_fixated,1,1,0,1
239,sub009,Free_Viewing,healthy_sleep,passed_first_fixated,1,1,0,0
240,sub009,Free_Viewing,texting_driving,passed_first_fixated,1,1,1,1
241,sub009,Free_Viewing,handwashing,passed_first_fixated,1,1,0,0
242,sub009,Free_Viewing,employee_wellness,passed_first_fixated,1,1,0,1
243,sub009,Free_Viewing,jogging_physical_activity,passed_first_fixated,1,1,0,0
244,sub009,Free_Viewing,grocery_store,passed_incept_fixated,1,1,0,1
245,sub009,Free_Viewing,moving_business,passed_incept_fixated,1,1,0,1
246,sub009,Free_Viewing,furniture,passed_incept_fixated,1,1,0,0
247,sub009,Free_Viewing,pottery_class,passed_first_notfixated_forgone,0,0,0,0
248,sub009,Free_Viewing,healthy_diet,passed_first_notfixated_forgone,0,1,0,1
249,sub009,Free_Viewing,recycling,passed_first_notfixated_forgone,0,0,0,0
250,sub009,Free_Viewing,caffeine_consumption,passed_first_notfixated_forgone,0,1,0,1
251,sub009,Free_Viewing,car_insurance,passed_first_notfixated_forgone,0,0,0,0
252,sub009,Free_Viewing,great_lakes,passed_first_notfixated_forgone,0,0,0,0
253,sub009,Free_Viewing,burger,passed_first_notfixated_forgone,0,0,0,0
254,sub009,Free_Viewing,polar_bear,passed_first_notfixated_forgone,0,0,0,0
255,sub010,Count_trash_bins,coffee,passed_first_fixated,1,1,0,0
256,sub010,Count_trash_bins,handwashing,passed_first_fixated,1,1,0,0
257,sub010,Count_trash_bins,moving_business,passed_incept_fixated,1,1,0,0
258,sub010,Count_trash_bins,jogging_physical_activity,passed_incept_fixated,1,1,0,0
259,sub010,Count_trash_bins,fundraising,passed_incept_notfixated_forgone,0,1,0,0
260,sub010,Count_trash_bins,hotel,passed_incept_notfixated_forgone,0,1,0,0
261,sub010,Count_trash_bins,lawyer,passed_incept_notfixated_forgone,0,0,0,0
262,sub010,Count_trash_bins,drug_abuse,passed_incept_notfixated_forgone,0,1,0,0
263,sub010,Count_trash_bins,smoking_cessation,passed_incept_notfixated_forgone,0,1,0,0
264,sub010,Count_trash_bins,pizza,passed_first_notfixated_forgone,0,0,0,0
265,sub010,Count_trash_bins,diabetes_awareness,passed_first_notfixated_forgone,0,1,0,0
266,sub010,Count_trash_bins,texting_driving,passed_first_notfixated_forgone,0,1,0,1
267,sub010,Count_trash_bins,grocery_store,passed_first_notfixated_forgone,0,0,0,0
268,sub010,Count_trash_bins,pottery_class,passed_first_notfixated_forgone,0,0,0,0
269,sub011,Free_Viewing,brunch,passed_first_fixated,1,1,0,1
270,sub011,Free_Viewing,jogging_physical_activity,passed_first_fixated,1,1,0,0
271,sub011,Free_Viewing,healthy_sleep,passed_first_fixated,1,1,0,1
272,sub011,Free_Viewing,recycling,passed_first_fixated,1,1,0,1
273,sub011,Free_Viewing,coffee,passed_first_fixated,1,1,0,0
274,sub011,Free_Viewing,sun_skin_protection,passed_first_fixated,1,1,0,1
275,sub011,Free_Viewing,buckle_up,passed_first_fixated,1,1,0,0
276,sub011,Free_Viewing,mental_health,passed_first_fixated,1,1,0,0
277,sub011,Free_Viewing,vaccination,passed_first_fixated,1,1,1,1
278,sub011,Free_Viewing,clothes_sale,passed_first_fixated,1,1,0,0
279,sub011,Free_Viewing,moving_business,passed_first_fixated,1,1,0,0
280,sub011,Free_Viewing,HIV,passed_first_fixated,1,1,0,0
281,sub011,Free_Viewing,texting_driving,passed_first_fixated,1,1,0,0
282,sub011,Free_Viewing,carpet_cleaning,passed_first_fixated,1,1,1,1
283,sub011,Free_Viewing,great_lakes,passed_first_fixated,1,1,1,1
284,sub011,Free_Viewing,lawyer,passed_first_fixated,1,1,0,0
285,sub011,Free_Viewing,handwashing,passed_first_fixated,1,1,0,0
286,sub011,Free_Viewing,museum,passed_first_fixated,1,1,0,0
287,sub011,Free_Viewing,polar_bear,passed_first_fixated,1,1,1,1
288,sub011,Free_Viewing,diabetes_awareness,passed_first_fixated,1,1,0,0
289,sub011,Free_Viewing,cosmetics,passed_incept_fixated,1,1,1,1
290,sub011,Free_Viewing,car_insurance,passed_incept_fixated,1,1,0,0
291,sub011,Free_Viewing,caffeine_consumption,passed_incept_fixated,1,1,0,0
292,sub011,Free_Viewing,grocery_store,passed_incept_fixated,1,1,0,0
293,sub011,Free_Viewing,binge_drinking,passed_incept_fixated,1,1,0,0
294,sub011,Free_Viewing,healthy_diet,passed_first_notfixated_forgone,0,0,0,0
295,sub011,Free_Viewing,travel_agency,passed_first_notfixated_forgone,0,0,0,0
296,sub011,Free_Viewing,smartphone,passed_first_notfixated_forgone,0,0,0,0
297,sub012,Count_trash_bins,texting_driving,passed_first_fixated,1,1,0,0
298,sub012,Count_trash_bins,fundraising,passed_first_fixated,1,1,0,0
299,sub012,Count_trash_bins,pottery_class,passed_first_fixated,1,1,0,0
300,sub012,Count_trash_bins,car_insurance,passed_first_fixated,1,1,0,0
301,sub012,Count_trash_bins,burger,passed_first_fixated,1,1,1,1
302,sub012,Count_trash_bins,furniture,passed_incept_fixated,1,1,0,0
303,sub012,Count_trash_bins,smoking_cessation,passed_incept_fixated,1,1,1,1
304,sub012,Count_trash_bins,moving_business,passed_incept_notfixated_forgone,0,0,0,0
305,sub012,Count_trash_bins,diabetes_awareness,passed_incept_notfixated_forgone,0,0,0,0
306,sub012,Count_trash_bins,employee_wellness,passed_incept_notfixated_forgone,0,1,0,0
307,sub012,Count_trash_bins,clothes_sale,passed_incept_notfixated_forgone,0,0,0,0
308,sub012,Count_trash_bins,jogging_physical_activity,passed_first_notfixated_forgone,0,0,0,0
309,sub012,Count_trash_bins,caffeine_consumption,passed_first_notfixated_forgone,0,0,0,0
310,sub012,Count_trash_bins,buckle_up,passed_first_notfixated_forgone,0,1,0,1
311,sub012,Count_trash_bins,drug_abuse,passed_first_notfixated_forgone,0,0,0,0
312,sub012,Count_trash_bins,carpet_cleaning,passed_first_notfixated_forgone,0,0,0,0
313,sub012,Count_trash_bins,lawyer,passed_first_notfixated_forgone,0,0,0,0
314,sub013,Free_Viewing,sun_skin_protection,passed_incept_fixated,1,1,0,1
315,sub013,Free_Viewing,regular_doctor_visits,passed_incept_notfixated_forgone,0,1,0,0
316,sub013,Free_Viewing,smartphone,passed_incept_notfixated_forgone,0,1,0,0
317,sub013,Free_Viewing,clothes_sale,passed_incept_notfixated_forgone,0,1,0,0
318,sub013,Free_Viewing,binge_drinking,passed_incept_notfixated_forgone,0,0,0,0
319,sub013,Free_Viewing,lawyer,passed_incept_notfixated_forgone,0,1,0,0
320,sub013,Free_Viewing,hotel,passed_first_notfixated_forgone,0,0,0,0
321,sub013,Free_Viewing,carpet_cleaning,passed_first_notfixated_forgone,0,0,0,0
322,sub013,Free_Viewing,mental_health,passed_first_notfixated_forgone,0,0,0,0
323,sub013,Free_Viewing,cosmetics,passed_first_notfixated_forgone,0,0,0,0
324,sub013,Free_Viewing,pottery_class,passed_first_notfixated_forgone,0,1,0,0
325,sub013,Free_Viewing,jogging_physical_activity,passed_first_notfixated_forgone,0,0,0,0
326,sub013,Free_Viewing,drug_abuse,passed_first_notfixated_forgone,0,0,0,0
327,sub013,Free_Viewing,healthy_diet,passed_first_notfixated_forgone,0,0,0,0
